Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2024-08-23 19:35:54.174784+05:30 IST Asia/Kolkata,BTCUSD,normal,8,61499.5,491.996,ee8b97b2ceeb419a8c1511460369a130,buy,0.0005,0,0.29027764,market_order,63151,24,12,111526773,
2024-08-23 19:35:54.173948+05:30 IST Asia/Kolkata,BTCUSD,normal,4,61499,245.996,bc17c0564dea43349a262c52c279c4e9,buy,0.0005,0,0.14513764,market_order,63151,24,20,111526773,
2024-08-22 22:40:26.675453+05:30 IST Asia/Kolkata,BTCUSD,normal,112,60388,6763.456,f6308f65b2824597baa8a15fdd49676a,buy,0.0005,0,3.99043904,market_order,61869.5,112,0,110966069,
2024-08-22 22:12:38.836688+05:30 IST Asia/Kolkata,BTCUSD,normal,22,60561.5,1332.353,890f95241eed4c7195f43302fe2fd77d,sell,0.0005,0,0.78608827,market_order,59055,22,0,110958197,
2024-08-22 22:05:46.876729+05:30 IST Asia/Kolkata,BTCUSD,normal,90,60501.5,5445.135,21c8de4fde544a3dbcb60381f358ee91,sell,0.0005,0,3.21262965,market_order,58966.5,90,0,110953173,
2024-08-22 21:08:54.385213+05:30 IST Asia/Kolkata,BTCUSD,normal,33,60266.5,1988.7945,16ae0eed09e4459c9b4115659345cc95,sell,0.0005,0,1.17338876,market_order,58777.5,33,0,110898332,
2024-08-22 21:04:27.905798+05:30 IST Asia/Kolkata,BTCUSD,normal,16,60341,965.456,693e3292120f4584989b77056999cbd0,buy,0.0005,0,0.56961904,limit_order,60504,33,0,110898069,
2024-08-22 21:04:27.905740+05:30 IST Asia/Kolkata,BTCUSD,normal,17,60340.5,1025.7885,5eeca093ebd74a85949abf4e302af1d2,buy,0.0005,0,0.60521522,limit_order,60504,33,16,110898069,
2024-08-22 20:59:06.766657+05:30 IST Asia/Kolkata,BTCUSD,normal,34,60446,2055.164,e20b9233355c493288fc5992331fcb78,sell,0.0005,0,1.21254676,market_order,58972,34,0,110890422,
2024-08-22 20:56:29.148420+05:30 IST Asia/Kolkata,BTCUSD,normal,34,60438.5,2054.909,13aa969de19246e59f8d12e4e98994fd,buy,0.0005,0,1.21239631,market_order,61932.5,34,0,110887732,
2024-08-22 20:49:17.976796+05:30 IST Asia/Kolkata,BTCUSD,normal,36,60593,2181.348,bc58879b8c0945b794c9c5546bc36f75,sell,0.0005,0,1.28699532,market_order,59109,36,0,110877069,
2024-08-22 20:47:45.678869+05:30 IST Asia/Kolkata,BTCUSD,normal,36,6.066E+4,2183.76,671432414bbe4d6aac4f6377cdafc7fb,buy,0.0002,0,0.51536736,limit_order,60660,36,0,110876651,
2024-08-22 18:02:58.627946+05:30 IST Asia/Kolkata,BTCUSD,normal,18,61009.5,1098.171,d0d223e4af2f482dbe8968aba7e04601,sell,0.0005,0,0.64792089,market_order,59635.5,18,0,110715208,
2024-08-22 17:59:11.498809+05:30 IST Asia/Kolkata,BTCUSD,normal,18,61242,1102.356,9818b93070be4491ac11b1bb4d273c8a,buy,0.0005,0,0.65039004,market_order,62745.5,18,0,110714879,
2024-08-21 21:18:53.609304+05:30 IST Asia/Kolkata,BTCUSD,normal,41,5.959E+4,2443.19,f29ae23a81cf4bb4bf155ba12d578e40,sell,0.0005,0,1.4414821,market_order,58164.5,42,0,110095663,
